"pitch [deg], pitch_time [ms] pitch_crc"
"0.00,8,8.00"
"0.99,23,23.99"
"-0.85,38,37.15"
"0.30,53,53.30"
"0.40,68,68.ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ"
"-0.90,83,82.10"
"0.97,98,98.97"
"-0.57,113,112.43"
"-0.10,128,127.90"
"0.72,143,143.72"
"-1.00,158,157.00"
"0.80,173,173.80"
"-0.21,188,187.79"
"-0.48,203,202.52"
"0.93,218,218.93"
"-0.94,233,232.06"
"0.50,248,248.50"
"0.18,263,263.18"
"-0.78,278,277.22"
"1.00,293,294.00"
"-0.74,308,307.26"
"0.12,323,323.12"
"0.55,338,338.55"
"-0.96,353,352.04"
"0.91,368,368.91"
"-0.42,383,382.58"
"-0.27,398,397.73"
"0.83,413,413.83"
"-0.99,428,427.01"
"0.68,443,443.68"
"-0.04,458,457.96"
"-0.62,473,472.38"
"0.98,488,488.98"
"-0.87,503,502.13"
"0.34,518,518.34"
"0.35,533,533.35"
"-0.88,548,547.12"
"0.98,563,563.98"
"-0.61,578,577.39"
"-0.05,593,592.95"
"0.69,608,608.69"
"-0.99,623,622.01"
"0.82,638,638.82"
"-0.25,653,652.75"
"-0.44,668,667.56"
"0.92,683,683.92"
"-0.96,698,697.04"
"0.54,713,713.54"
"0.14,728,728.14"
"-0.75,743,742.25"
"1.00,758,759.00"
"-0.77,773,772.23"
"0.17,788,788.17"
"0.51,803,803.51"
"-0.95,818,817.05"
"0.93,833,833.93"
"-0.46,848,847.54"
"-0.23,863,862.77"
"0.81,878,878.81"
"-1.00,893,892.00"
"0.71,908,908.71"
"-0.08,923,922.92"
"-0.59,938,937.41"
"0.97,953,953.97"
"-0.89,968,967.11"
"0.38,983,983.38"
"0.31,998,998.31"
"-0.86,1013,1012.14"
"0.99,1028,1028.99"
"-0.64,1043,1042.36"
"-0.01,1058,1057.99"
"0.66,1073,1073.66"
"-0.99,1088,1087.01"
"0.85,1103,1103.85"
"-0.30,1118,1117.70"
"-0.40,1133,1132.60"
"0.90,1148,1148.90"
"-0.97,1163,1162.03"
"0.57,1178,1178.57"
"0.10,1193,1193.10"
"-0.72,1208,1207.28"
"1.00,1223,1224.00"
"-0.80,1238,1237.20"
"0.21,1253,1253.21"
"0.48,1268,1268.48"
"-0.93,1283,1282.07"
"0.94,1298,1298.94"
"-0.50,1313,1312.50"
"-0.18,1328,1327.82"
"0.78,1343,1343.78"
"-1.00,1358,1357.00"
"0.74,1373,1373.74"
"-0.12,1388,1387.88"
"-0.55,1403,1402.45"
"0.96,1418,1418.96"
"-0.91,1433,1432.09"
"0.42,1448,1448.42"
"0.27,1463,1463.27"
"-0.83,1478,1477.17"
"0.99,1493,1493.99"
"-0.68,1508,1507.32"
"0.04,1523,1523.04"
"0.62,1538,1538.62"
"-0.98,1553,1552.02"
"0.87,1568,1568.87"
"-0.34,1583,1582.66"
"-0.35,1598,1597.65"
"0.88,1613,1613.88"
"-0.98,1628,1627.02"
"0.61,1643,1643.61"
"0.05,1658,1658.05"
"-0.69,1673,1672.31"
"0.99,1688,1688.99"
"-0.82,1703,1702.18"
"0.25,1718,1718.25"
"0.44,1733,1733.44"
"-0.92,1748,1747.08"
"0.96,1763,1763.96"
"-0.54,1778,1777.46"
"-0.14,1793,1792.86"
"0.75,1808,1808.75"
"-1.00,1823,1822.00"
"0.77,1838,1838.77"
"-0.17,1853,1852.83"
"-0.51,1868,1867.49"
"0.95,1883,1883.95"
"-0.93,1898,1897.07"
"0.46,1913,1913.46"
"0.23,1928,1928.23"
"-0.81,1943,1942.19"
"1.00,1958,1959.00"
"-0.71,1973,1972.29"
"0.08,1988,1988.08"
"0.59,2003,2003.59"
"-0.97,2018,2017.03"
"0.89,2033,2033.89"
"-0.38,2048,2047.62"
"-0.31,2063,2062.69"
"0.86,2078,2078.86"
"-0.99,2093,2092.01"
"0.64,2108,2108.64"
"0.01,2123,2123.01"
"-0.66,2138,2137.34"
"0.99,2153,2153.99"
"-0.85,2168,2167.15"
"0.30,2183,2183.30"
"0.40,2198,2198.40"
"-0.90,2213,2212.10"
"0.97,2228,2228.97"
"-0.57,2243,2242.43"
"-0.10,2258,2257.90"
"0.72,2273,2273.72"
"-1.00,2288,2287.00"
"0.80,2303,2303.80"
"-0.21,2318,2317.79"
"-0.48,2333,2332.52"
"0.93,2348,2348.93"
"-0.94,2363,2362.06"
"0.50,2378,2378.50"
"0.18,2393,2393.18"
"-0.78,2408,2407.22"
"1.00,2423,2424.00"
"-0.74,2438,2437.26"
"0.12,2453,2453.12"
"0.55,2468,2468.55"
"-0.96,2483,2482.04"
"0.91,2498,2498.91"
"-0.42,2513,2512.58"
"-0.27,2528,2527.73"
"0.83,2543,2543.83"
"-0.99,2558,2557.01"
"0.68,2573,2573.68"
"-0.04,2588,2587.96"
"-0.62,2603,2602.38"
"0.98,2618,2618.98"
"-0.87,2633,2632.13"
"0.34,2648,2648.34"
"0.35,2663,2663.35"
"-0.88,2678,2677.12"
"0.98,2693,2693.98"
"-0.61,2708,2707.39"
"-0.05,2723,2722.95"
"0.69,2738,2738.69"
"-0.99,2753,2752.01"
"0.82,2768,2768.82"
"-0.25,2783,2782.75"
"-0.44,2798,2797.56"
"0.92,2813,2813.92"
"-0.96,2828,2827.04"
"0.54,2843,2843.54"
"0.14,2858,2858.14"
"-0.75,2873,2872.25"
"1.00,2888,2889.00"
"-0.77,2903,2902.23"
"0.17,2918,2918.17"
"0.51,2933,2933.51"
"-0.95,2948,2947.05"
"0.93,2963,2963.93"
"-0.46,2978,2977.54"
"-0.23,2993,2992.77"
"0.81,3008,3008.81"
"-1.00,3023,3022.00"
"0.71,3038,3038.71"
"-0.08,3053,3052.92"
"-0.59,3068,3067.41"
"0.97,3083,3083.97"
"-0.89,3098,3097.11"
"0.38,3113,3113.38"
"0.31,3128,3128.31"
"-0.86,3143,3142.14"
"0.99,3158,3158.99"
"-0.64,3173,3172.36"
"-0.01,3188,3187.99"
"0.66,3203,3203.66"
"-0.99,3218,3217.01"
"0.85,3233,3233.85"
"-0.30,3248,3247.70"
"-0.40,3263,3262.60"
"0.90,3278,3278.90"
"-0.97,3293,3292.03"
"0.57,3308,3308.57"
"0.10,3323,3323.10"
"-0.72,3338,3337.28"
"1.00,3353,3354.00"
"-0.80,3368,3367.20"
"0.21,3383,3383.21"
"0.48,3398,3398.48"
"-0.93,3413,3412.07"
"0.94,3428,3428.94"
"-0.50,3443,3442.50"
"-0.18,3458,3457.82"
"0.78,3473,3473.78"
"-1.00,3488,3487.00"
"0.74,3503,3503.74"
"-0.12,3518,3517.88"
"-0.55,3533,3532.45"
"0.96,3548,3548.96"
"-0.91,3563,3562.09"
"0.42,3578,3578.42"
"0.27,3593,3593.27"
"-0.83,3608,3607.17"
"0.99,3623,3623.99"
"-0.68,3638,3637.32"
"0.04,3653,3653.04"
"0.62,3668,3668.62"
"-0.98,3683,3682.02"
"0.87,3698,3698.87"
"-0.34,3713,3712.66"
"-0.35,3728,3727.65"
"0.88,3743,3743.88"
"-0.98,3758,3757.02"
"0.61,3773,3773.61"
"0.05,3788,3788.05"
"-0.69,3803,3802.31"
"0.99,3818,3818.99"
"-0.82,3833,3832.18"
"0.25,3848,3848.25"
"0.44,3863,3863.44"
"-0.92,3878,3877.08"
"0.96,3893,3893.96"
"-0.54,3908,3907.46"
"-0.14,3923,3922.86"
"0.75,3938,3938.75"
"-1.00,3953,3952.00"
"0.77,3968,3968.77"
"-0.17,3983,3982.83"
"-0.51,3998,3997.49"
"0.95,4013,4013.95"
"-0.93,4028,4027.07"
"0.46,4043,4043.46"
"0.23,4058,4058.23"
"-0.81,4073,4072.19"
"1.00,4088,4089.00"
"-0.71,4103,4102.29"
"0.08,4118,4118.08"
"0.59,4133,4133.59"
"-0.97,4148,4147.03"
"0.89,4163,4163.89"
"-0.38,4178,4177.62"
"-0.31,4193,4192.69"
"0.86,4208,4208.86"
"-0.99,4223,4222.01"
"0.64,4238,4238.64"
"0.01,4253,4253.01"
"-0.66,4268,4267.34"
"0.99,4283,4283.99"
"-0.85,4298,4297.15"
"0.30,4313,4313.30"
"0.40,4328,4328.40"
"-0.90,4343,4342.10"
"0.97,4358,4358.97"
"-0.57,4373,4372.43"
"-0.10,4388,4387.90"
"0.72,4403,4403.72"
"-1.00,4418,4417.00"
"0.80,4433,4433.80"
"-0.21,4448,4447.79"
"-0.48,4463,4462.52"
"0.93,4478,4478.93"
"-0.94,4493,4492.06"
"0.50,4508,4508.50"
"0.18,4523,4523.18"
"-0.78,4538,4537.22"
"1.00,4553,4554.00"
"-0.74,4568,4567.26"
"0.12,4583,4583.12"
"0.55,4598,4598.55"
"-0.96,4613,4612.04"
"0.91,4628,4628.91"
