"pitch [deg], pitch_time [ms] pitch_crc"
"-6.43,23528,23521.57"
"-6.42,23543,23536.58"
"8,23551.60"
"-6.40,2357ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ"
"-6.38,16,9.62"
"-6.38,31,24.62"
"-6.38,46,39.62"
"-6.38,61,54.62"
"-6.38,76,69.62"
"-6.38,91,84.62"
"-6.38,106,99.62"
"-6.38,121,114.62"
"-6.38,136,129.62"
"-6.38,151,144.62"
"-6.38,166,159.62"
"-6.38,181,174.62"
"-6.38,196,189.62"
"-6.38,211,204.62"
"-6.38,226,219.62"
"-6.38,241,234.62"
"-6.38,256,249.62"
"-6.38,271,264.62"
"-6.38,286,279.62"
"-6.38,301,294.62"
"-6.38,316,309.62"
"-6.38,331,324.62"
"-6.38,346,339.62"
"-6.38,361,354.62"
"-6.38,376,369.62"
"-6.38,391,384.62"
"-6.38,406,399.62"
"-6.38,421,414.62"
"-6.38,436,429.62"
"-6.38,451,444.62"
"-6.38,466,459.62"
"-6.38,481,474.62"
"-6.38,496,489.62"
"-6.38,511,504.62"
"-6.38,526,519.62"
"-6.38,541,534.62"
"-6.38,556,549.62"
"-6.38,571,564.62"
"-6.38,586,579.62"
"-6.38,601,594.62"
"-6.38,616,609.62"
"-6.38,631,624.62"
"-6.38,646,639.62"
"-6.38,661,654.62"
"-6.38,676,669.62"
"-6.38,691,684.62"
"-6.38,706,699.62"
"-6.38,721,714.62"
"-6.38,736,729.62"
"-6.38,751,744.62"
"-6.38,766,759.62"
"-6.38,781,774.62"
"-6.38,796,789.62"
"-6.38,811,804.62"
"-6.38,826,819.62"
"-6.38,841,834.62"
"-6.38,856,849.62"
"-6.38,871,864.62"
"-6.38,886,879.62"
"-6.38,901,894.62"
"-6.38,916,909.62"
"-6.38,931,924.62"
"-6.38,946,939.62"
"-6.38,961,954.62"
"-6.38,976,969.62"
"-6.38,991,984.62"
"-6.38,1006,999.62"
"-6.38,1021,1014.62"
"-6.38,1036,1029.62"
"-6.38,1051,1044.62"
"-6.38,1066,1059.62"
"-6.38,1081,1074.62"
"-6.38,1096,1089.62"
"-6.38,1111,1104.62"
"-6.38,1126,1119.62"
"-6.38,1141,1134.62"
"-6.38,1156,1149.62"
"-6.38,1171,1164.62"
"-6.38,1186,1179.62"
"-6.38,1201,1194.62"
"-6.38,1216,1209.62"
"-6.38,1231,1224.62"
"-6.38,1246,1239.62"
"-6.38,1261,1254.62"
"-6.38,1276,1269.62"
"-6.38,1291,1284.62"
"-6.38,1306,1299.62"
"-6.38,1321,1314.62"
"-6.38,1336,1329.62"
"-6.38,1351,1344.62"
"-6.38,1366,1359.62"
