"yaw [deg], yaw_time [ms], yaw_crc"
"-0.42,2,1.58"
"-0.28,17,16.72"
"0.83,32,32.83"
"-0.99,47,46.01"
"0.67,62,62.67"
"-0.03,77,76.97"
"-0.63,92,91.37"
"0.98,107,107.98"
"-0.87,122,121.13"
"0.33,137,137.33"
"0.36,152,152.36"
"-0.88,167,166.12"
"0.98,182,182.98"
"-0.61,197,196.39"
"-0.06,212,211.94"
"0.69,227,227.69"
"-1.00,242,241.00"
"0.82,257,257.82"
"-0.25,272,271.75"
"-0.44,287,286.56"
"0.92,302,302.92"
"-0.96,317,316.04"
"0.53,332,332.53"
"0.15,347,347.15"
"-0.75,362,361.25"
"1.00,377,378.00"
"-0.77,392,391.23"
"0.16,407,407.16"
"0.52,422,422.52"
"-0.95,437,436.05"
"0.93,452,452.93"
"-0.46,467,466.54"
"-0.23,482,481.77"
"0.81,497,497.81"
"-1.00,512,511.00"
"0.71,527,527.71"
"-0.08,542,541.92"
"-0.59,557,556.41"
"0.97,572,572.97"
"-0.89,587,586.11"
"0.38,602,602.38"
"0.32,617,617.32"
"-0.86,632,631.14"
"0.99,647,647.99"
"-0.64,662,661.36"
"-0.01,677,676.99"
"0.66,692,692.66"
"-0.99,707,706.01"
"0.84,722,722.84"
"-0.29,737,736.71"
"-0.40,752,751.60"
"0.90,767,767.90"
"-0.97,782,781.03"
"0.57,797,797.57"
"0.10,812,812.10"
"-0.72,827,826.28"
"1.00,842,843.00"
"-0.79,857,856.21"
"0.21,872,872.21"
"0.48,887,887.48"
"-0.93,902,901.07"
"0.94,917,917.94"
"-0.49,932,931.51"
"-0.19,947,946.81"
"0.78,962,962.78"
"-1.00,977,976.00"
"0.74,992,992.74"
"-0.12,1007,1006.88"
"-0.56,1022,1021.44"
"0.96,1037,1037.96"
"-0.91,1052,1051.09"
"0.42,1067,1067.42"
"0.28,1082,1082.28"
"-0.83,1097,1096.17"
"0.99,1112,1112.99"
"-0.67,1127,1126.33"
"0.03,1142,1142.03"
"0.63,1157,1157.63"
"-0.98,1172,1171.02"
"0.87,1187,1187.87"
"-0.33,1202,1201.67"
"-0.36,1217,1216.64"
"0.88,1232,1232.88"
"-0.98,1247,1246.02"
"0.61,1262,1262.61"
"0.06,1277,1277.06"
"-0.69,1292,1291.31"
"1.00,1307,1308.00"
"-0.82,1322,1321.18"
"0.25,1337,1337.25"
"0.44,1352,1352.44"
"-0.92,1367,1366.08"
"0.96,1382,1382.96"
"-0.53,1397,1396.47"
"-0.15,1412,1411.85"
"0.75,1427,1427.75"
"-1.00,1442,1441.00"
"0.77,1457,1457.77"
"-0.16,1472,1471.84"
"-0.52,1487,1486.48"
"0.95,1502,1502.95"
"-0.93,1517,1516.07"
"0.46,1532,1532.46"
"0.23,1547,1547.23"
"-0.81,1562,1561.19"
"1.00,1577,1578.00"
"-0.71,1592,1591.29"
"0.08,1607,1607.08"
"0.59,1622,1622.59"
"-0.97,1637,1636.03"
"0.89,1652,1652.89"
"-0.38,1667,1666.62"
"-0.32,1682,1681.68"
"0.86,1697,1697.86"
"-0.99,1712,1711.01"
"0.64,1727,1727.64"
"0.01,1742,1742.01"
"-0.66,1757,1756.34"
"0.99,1772,1772.99"
"-0.84,1787,1786.16"
"0.29,1802,1802.29"
"0.40,1817,1817.40"
"-0.90,1832,1831.10"
"0.97,1847,1847.97"
"-0.57,1862,1861.43"
"-0.10,1877,1876.90"
"0.72,1892,1892.72"
"-1.00,1907,1906.00"
"0.79,1922,1922.79"
"-0.21,1937,1936.79"
"-0.48,1952,1951.52"
"0.93,1967,1967.93"
"-0.94,1982,1981.06"
"0.50,1997,1997.49"
"0.19,2012,2012.19"
"-0.78,2027,2026.22"
"1.00,2042,2043.00"
"-0.74,2057,2056.26"
"0.12,2072,2072.12"
"0.55,2087,2087.55"
"-0.96,2102,2101.04"
"0.91,2117,2117.91"
"-0.42,2132,2131.58"
"-0.27,2147,2146.73"
"0.83,2162,2162.83"
"-0.99,2177,2176.01"
"0.67,2192,2192.67"
"-0.03,2207,2206.97"
"-0.63,2222,2221.37"
"0.98,2237,2237.98"
"-0.87,2252,2251.13"
"0.33,2267,2267.33"
"0.36,2282,2282.36"
"-0.88,2297,2296.12"
"0.98,2312,2312.98"
"-0.61,2327,2326.39"
"-0.06,2342,2341.94"
"0.69,2357,2357.69"
"-1.00,2372,2371.00"
"0.82,2387,2387.82"
"-0.25,2402,2401.75"
"-0.44,2417,2416.56"
"0.92,2432,2432.92"
"-0.96,2447,2446.04"
"0.53,2462,2462.53"
"0.15,2477,2477.15"
"-0.75,2492,2491.25"
"1.00,2507,2508.00"
"-0.77,2522,2521.23"
"0.16,2537,2537.16"
"0.52,2552,2552.52"
"-0.95,2567,2566.05"
"0.93,2582,2582.93"
"-0.46,2597,2596.54"
"-0.23,2612,2611.77"
"0.81,2627,2627.81"
"-1.00,2642,2641.00"
"0.71,2657,2657.71"
"-0.08,2672,2671.92"
"-0.59,2687,2686.41"
"0.97,2702,2702.97"
"-0.89,2717,2716.11"
"0.38,2732,2732.38"
"0.32,2747,2747.32"
"-0.86,2762,2761.14"
"0.99,2777,2777.99"
"-0.64,2792,2791.36"
"-0.01,2807,2806.99"
"0.66,2822,2822.66"
"-0.99,2837,2836.01"
"0.84,2852,2852.84"
"-0.29,2867,2866.71"
"-0.40,2882,2881.60"
"0.90,2897,2897.90"
"-0.97,2912,2911.03"
"0.57,2927,2927.57"
"0.10,2942,2942.10"
"-0.72,2957,2956.28"
"1.00,2972,2973.00"
"-0.79,2987,2986.21"
"0.21,3002,3002.21"
"0.48,3017,3017.48"
"-0.93,3032,3031.07"
"0.94,3047,3047.94"
"-0.50,3062,3061.50"
"-0.19,3077,3076.81"
"0.78,3092,3092.78"
"-1.00,3107,3106.00"
"0.74,3122,3122.74"
"-0.12,3137,3136.88"
"-0.55,3152,3151.45"
"0.96,3167,3167.96"
"-0.91,3182,3181.09"
"0.42,3197,3197.42"
"0.27,3212,3212.27"
"-0.83,3227,3226.17"
"0.99,3242,3242.99"
"-0.67,3257,3256.33"
"0.03,3272,3272.03"
"0.63,3287,3287.63"
"-0.98,3302,3301.02"
"0.87,3317,3317.87"
"-0.33,3332,3331.67"
"-0.36,3347,3346.64"
"0.88,3362,3362.88"
"-0.98,3377,3376.02"
"0.61,3392,3392.61"
"0.06,3407,3407.06"
"-0.69,3422,3421.31"
"1.00,3437,3438.00"
"-0.82,3452,3451.18"
"0.25,3467,3467.25"
"0.44,3482,3482.44"
"-0.92,3497,3496.08"
"0.96,3512,3512.96"
"-0.53,3527,3526.47"
"-0.15,3542,3541.85"
"0.75,3557,3557.75"
"-1.00,3572,3571.00"
"0.77,3587,3587.77"
"-0.16,3602,3601.84"
"-0.52,3617,3616.48"
"0.95,3632,3632.95"
"-0.93,3647,3646.07"
"0.46,3662,3662.46"
"0.23,3677,3677.23"
"-0.81,3692,3691.19"
"1.00,3707,3708.00"
"-0.71,3722,3721.29"
"0.08,3737,3737.08"
"0.59,3752,3752.59"
"-0.97,3767,3766.03"
"0.89,3782,3782.89"
"-0.38,3797,3796.62"
"-0.32,3812,3811.68"
"0.86,3827,3827.86"
"-0.99,3842,3841.01"
"0.64,3857,3857.64"
"0.01,3872,3872.01"
"-0.66,3887,3886.34"
"0.99,3902,3902.99"
"-0.84,3917,3916.16"
"0.29,3932,3932.29"
"0.40,3947,3947.40"
"-0.90,3962,3961.10"
"0.97,3977,3977.97"
"-0.57,3992,3991.43"
"-0.10,4007,4006.90"
"0.72,4022,4022.72"
"-1.00,4037,4036.00"
"0.79,4052,4052.79"
"-0.21,4067,4066.79"
"-0.48,4082,4081.52"
"0.93,4097,4097.93"
"-0.94,4112,4111.06"
"0.50,4127,4127.50"
"0.19,4142,4142.19"
"-0.78,4157,4156.22"
"1.00,4172,4173.00"
"-0.74,4187,4186.26"
"0.12,4202,4202.12"
"0.55,4217,4217.55"
"-0.96,4232,4231.04"
"0.91,4247,4247.91"
"-0.42,4262,4261.58"
"-0.27,4277,4276.73"
"0.83,4292,4292.83"
"-0.99,4307,4306.01"
"0.67,4322,4322.67"
"-0.03,4337,4336.97"
"-0.63,4352,4351.37"
"0.98,4367,4367.98"
"-0.87,4382,4381.13"
""
