"pitch [deg], pitch_time [ms] pitch_crc"
"0.85,10975,10975.85"
"-0.99,10990,10989.01"
"0.65,11005,11005.65"
"-0ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ"
"0.91,17,17.91"
"-0.96,32,31.04"
"0.55,47,47.55"
"0.12,62,62.12"
"-0.74,77,76.26"
"1.00,92,93.00"
"-0.78,107,106.22"
"0.18,122,122.18"
"0.50,137,137.50"
"-0.94,152,151.06"
"0.93,167,167.93"
"-0.48,182,181.52"
"-0.21,197,196.79"
"0.80,212,212.80"
"-1.00,227,226.00"
"0.72,242,242.72"
"-0.10,257,256.90"
"-0.57,272,271.43"
"0.97,287,287.97"
"-0.90,302,301.10"
"0.40,317,317.40"
"0.30,332,332.30"
"-0.85,347,346.15"
"0.99,362,362.99"
"-0.66,377,376.34"
"0.01,392,392.01"
"0.64,407,407.64"
"-0.99,422,421.01"
"0.86,437,437.86"
"-0.31,452,451.69"
"-0.38,467,466.62"
"0.89,482,482.89"
"-0.97,497,496.03"
"0.59,512,512.59"
"0.08,527,527.08"
"-0.71,542,541.29"
"1.00,557,558.00"
"-0.81,572,571.19"
"0.23,587,587.23"
"0.46,602,602.46"
"-0.93,617,616.07"
"0.95,632,632.95"
"-0.51,647,646.49"
"-0.17,662,661.83"
"0.77,677,677.77"
"-1.00,692,691.00"
"0.75,707,707.75"
"-0.14,722,721.86"
"-0.54,737,736.46"
"0.96,752,752.96"
"-0.92,767,766.08"
"0.44,782,782.44"
"0.25,797,797.25"
"-0.82,812,811.18"
"0.99,827,827ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ"
"-0.69,842,841.31"
"0.05,857,857.05"
"0.61,872,872.61"
"-0.98,887,886.02"
"0.88,902,902.88"
"-0.35,917,916.65"
"-0.34,932,931.66"
"0.87,947,947.87"
"-0.98,962,961.02"
"0.62,977,977.62"
"0.04,992,992.04"
"-0.68,1007,1006.32"
"0.99,1022,1022.99"
"-0.83,1037,1036.17"
"0.27,1052,1052.27"
"0.42,1067,1067.42"
"-0.91,1082,1081.09"
"0.96,1097,1097.96"
"-0.55,1112,1111.45"
"-0.12,1127,1126.88"
"0.74,1142,1142.74"
"-1.00,1157,1156.00"
"0.78,1172,1172.78"
"-0.18,1187,1186.82"
"-0.50,1202,1201.50"
"0.94,1217,1217.94"
"-0.93,1232,1231.07"
"0.48,1247,1247.48"
"0.21,1262,1262.21"
"-0.80,1277,1276.20"
"1.00,1292,1293.00"
"-0.72,1307,1306.28"
"0.10,1322,1322.10"
"0.57,1337,1337.57"
"-0.97,1352,1351.03"
"0.90,1367,1367.90"
"-0.40,1382,1381.60"
"-0.30,1397,1396.70"
"0.85,1412,1412.85"
"-0.99,1427,1426.01"
"0.66,1442,1442.66"
"-0.01,1457,1456.99"
"-0.64,1472,1471.36"
"0.99,1487,1487.99"
"-0.86,1502,1501.14"
"0.31,1517,1517.31"
"0.38,1532,1532.38"
"-0.89,1547,1546.11"
"0.97,1562,1562.97"
"-0.59,1577,1576.41"
"-0.08,1592,1591.92"
"0.71,1607,1607.71"
"-1.00,1622,1621.00"
"0.81,1637,1637.81"
"-0.23,1652,1651.77"
"-0.46,1667,1666.54"
"0.93,1682,1682.93"
"-0.95,1697,1696.05"
"0.51,1712,1712.51"
"0.17,1727,1727.17"
"-0.77,1742,1741.23"
"1.00,1757,1758.00"
"-0.75,1772,1771.25"
"0.14,1787,1787.14"
"0.54,1802,1802.54"
"-0.96,1817,1816.04"
"0.92,1832,1832.92"
"-0.44,1847,1846.56"
"-0.25,1862,1861.75"
"0.82,1877,1877.82"
"-0.99,1892,1891.01"
"0.69,1907,1907.69"
"-0.05,1922,1921.95"
"-0.61,1937,1936.39"
"0.98,1952,1952.98"
"-0.88,1967,1966.12"
"0.36,1982,1982.36"
"0.34,1997,1997.34"
"-0.87,2012,2011.13"
"0.98,2027,2027.98"
"-0.62,2042,2041.38"
"-0.04,2057,2056.96"
"0.68,2072,2072.68"
"-0.99,2087,2086.01"
"0.83,2102,2102.83"
"-0.27,2117,2116.73"
"-0.42,2132,2131.58"
"0.91,2147,2147.91"
"-0.96,2162,2161.04"
"0.55,2177,2177.55"
"0.12,2192,2192.12"
"-0.74,2207,2206.26"
"1.00,2222,2223.00"
"-0.78,2237,2236.22"
"0.ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ1ÿÿÿÿÿÿÿ"
"0.50,2267,2267.50"
"-0.94,2282,2281.06"
"0.93,2297,2297.93"
"-0.48,2312,2311.52"
"-0.21,2327,2326.79"
"0.80,2342,2342.80"
"-1.00,2357,2356.00"
"0.72,2372,2372.72"
"-0.10,2387,2386.90"
"-0.57,2402,2401.43"
"0.97,2417,2417.97"
"-0.90,2432,2431.10"
"0.40,2447,2447.40"
"0.30,2462,2462.30"
"-0.85,2477,2476.15"
"0.99,2492,2492.99"
"-0.66,2507,2506.34"
"0.01,2522,2522.01"
"0.64,2537,2537.64"
"-0.99,2552,2551.01"
"0.86,2567,2567.86"
"-0.31,2582,2581.69"
"-0.38,2597,2596.62"
"0.89,2612,2612.89"
"-0.97,2627,2626.03"
"0.59,2642,2642.59"
"0.08,2657,2657.08"
"-0.71,2672,2671.29"
"1.00,2687,2688.00"
"-0.81,2702,2701.19"
"0.23,2717,2717.23"
"0.46,2732,2732.46"
"-0.93,2747,2746.07"
"0.95,2762,2762.95"
"-0.51,2777,2776.49"
"-0.17,2792,2791.83"
"0.77,2807,2807.77"
"-1.00,2822,2821.00"
"0.75,2837,2837.75"
"-0.14,2852,2851.86"
"-0.54,2867,2866.46"
"0.96,2882,2882.96"
"-0.92,2897,2896.08"
"0.44,2912,2912.44"
"0.25,2927,2927.25"
"-0.82,2942,2941.18"
"0.99,2957,2957.99"
"-0.69,2972,2971.31"
"0.05,2987,2987.05"
"0.61,3002,3002.61"
"-0.98,3017,3016.02"
"0.88,3032,3032.88"
"-0.36,3047,3046.64"
"-0.34,3062,3061.66"
"0.87,3077,3077.87"
"-0.98,3092,3091.02"
"0.62,3107,3107.62"
"0.04,3122,3122.04"
"-0.68,3137,3136.32"
"0.99,3152,3152.99"
"-0.83,3167,3166.17"
"0.27,3182,3182.27"
"0.42,3197,3197.42"
"-0.91,3212,3211.09"
"0.96,3227,3227.96"
"-0.55,3242,3241.45"
"-0.12,3257,3256.88"
"0.74,3272,3272.74"
"-1.00,3287,3286.00"
"0.78,3302,3302.78"
"-0.19,3317,3316.81"
"-0.50,3332,3331.50"
"0.94,3347,3347.94"
"-0.93,3362,3361.07"
"0.48,3377,3377.48"
"0.21,3392,3392.21"
"-0.80,3407,3406.20"
"1.00,3422,3423.00"
"-0.72,3437,3436.28"
"0.10,3452,3452.10"
"0.57,3467,3467.57"
"-0.97,3482,3481.03"
"0.90,3497,3497.90"
"-0.40,3512,3511.60"
"-0.30,3527,3526.70"
"0.85,3542,3542.85"
"-0.99,3557,3556.01"
"0.66,3572,3572.66"
"-0.01,3587,3586.99"
"-0.64,3602,3601.36"
"0.99,3617,3617.99"
"-0.86,3632,3631.14"
"0.31,3647,3647.31"
"0.38,3662,3662.38"
"-0.89,3677,3676.11"
"0.97,3692,3692.97"
"-0.59,3707,3706.41"
"-0.08,3722,3721.92"
"0.71,3737,3737.71"
"-1.00,3752,3751.00"
"0.81,3767,3767.81"
"-0.23,3782,3781.77"
"-0.46,3797,3796.54"
"0.93,3812,3812.93"
"-0.95,3827,3826.05"
"0.51,3842,3842.51"
"0.17,3857,3857.17"
"-0.77,3872,3871.23"
"1.00,3887,3888.00"
"-0.75,3902,3901.25"
"0.14,3917,3917.14"
"0.54,3932,3932.54"
"-0.96,3947,3946.04"
"0.92,3962,3962.92"
"-0.44,3977,3976.56"
"-0.25,3992,3991.75"
"0.82,4007,4007.82"
"-0.99,4022,4021.01"
"0.69,4037,4037.69"
"-0.05,4052,4051.95"
"-0.61,4067,4066.39"
"0.98,4082,4082.98"
"-0.88,4097,4096.12"
"0.36,4112,4112.36"
"0.34,4127,4127.34"
"-0.87,4142,4141.13"
"0.98,4157,4157.98"
"-0.62,4172,4171.38"
"-0.04,4187,4186.96"
"0.68,4202,4202.68"
"-0.99,4217,4216.01"
"0.83,4232,4232.83"
"-0.27,4247,4246.73"
"-0.42,4262,4261.58"
"0.91,4277,4277.91"
""
