"pitch [deg], pitch_time [ms] pitch_crc"
"0.69,1907,1907.69"
"-0.05,1922,1921.95"
"-0.61,1937,1936.39"
"0.98,19ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ"
"0.41,24,24.41"
"-0.91,39,38.09"
"0.96,54,54.96"
"-0.56,69,68.44"
"-0.11,84,83.89"
"0.73,99,99.73"
"-1.00,114,113.00"
"0.78,129,129.78"
"-0.19,144,143.81"
"-0.49,159,158.51"
"0.94,174,174.94"
"-0.94,189,188.06"
"0.48,204,204.48"
"0.20,219,219.20"
"-0.79,234,233.21"
"1.00,249,250.00"
"-0.73,264,263.27"
"0.11,279,279.11"
"0.57,294,294.57"
"-0.97,309,308.03"
"0.90,324,324.90"
"-0.40,339,338.60"
"-0.29,354,353.71"
"0.84,369,369.84"
"-0.99,384,383.01"
"0.66,399,399.66"
"-0.02,414,413.98"
"-0.64,429,428.36"
"0.99,444,444.99"
"-0.86,459,458.14"
"0.32,474,474.32"
"0.37,489,489.37"
"-0.89,504,503.11"
"0.97,519,519.97"
"-0.59,534,533.41"
"-0.07,549,548.93"
"0.70,564,564.70"
"-1.00,579,578.00"
"0.81,594,594.81"
"-0.24,609,608.76"
"-0.45,624,623.55"
"0.92,639,639.92"
"-0.95,654,653.05"
"0.52,669,669.52"
"0.16,684,684.16"
"-0.76,699,698.24"
"1.00,714,715.00"
"-0.76,729,728.24"
"0.15,744,744.15"
"0.53,759,759.53"
"-0.95,774,773.05"
"0.92,789,789.92"
"-0.44,804,803.56"
"-0.25,819,818.75"
"0.82,834,834.82"
"-1.00,849,848.00"
"0.70,864,864.70"
"-0.06,879,878.94"
"-0.60,894,893.40"
"0.98,909,909.98"
"-0.88,924,923.12"
"0.36,939,939.36"
"0.33,954,954.33"
"-0.86,969,968.14"
"0.98,984,984.98"
"-0.63,999,998.37"
"-0.03,1014,1013.97"
"0.67,1029,1029.67"
"-0.99,1044,1043.01"
"0.84,1059,1059.84"
"-0.28,1074,1073.72"
"-0.41,1089,1088.59"
"0.91,1104,1104.91"
"-0.96,1119,1118.04"
"0.56,1134,1134.56"
"0.11,1149,1149.11"
"-0.73,1164,1163.27"
"1.00,1179,1180.00"
"-0.79,1194,1193.21"
"0.19,1209,1209.19"
"0.49,1224,1224.49"
"-0.94,1239,1238.06"
"0.94,1254,1254.94"
"-0.48,1269,1268.52"
"-0.20,1284,1283.80"
"0.79,1299,1299.79"
"-1.00,1314,1313.00"
"0.73,1329,1329.73"
"-0.11,1344,1343.89"
"-0.57,1359,1358.43"
"0.97,1374,1374.97"
"-0.90,1389,1388.10"
"0.40,1404,1404.40"
"0.29,1419,1419.29"
"-0.84,1434,1433.16"
"0.99,1449,1449.99"
"-0.66,1464,1463.34"
"0.02,1479,1479.02"
"0.64,1494,1494.64"
"-0.99,1509,1508.01"
"0.86,1524,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ"
"-0.32,1539,1538.68"
"-0.37,1554,1553.63"
"0.89,1569,1569.89"
"-0.97,1584,1583.03"
"0.60,1599,1599.59"
"0.07,1614,1614.07"
"-0.70,1629,1628.30"
"1.00,1644,1645.00"
"-0.81,1659,1658.19"
"0.24,1674,1674.24"
"0.45,1689,1689.45"
"-0.92,1704,1703.08"
"0.95,1719,1719.95"
"-0.52,1734,1733.48"
"-0.16,1749,1748.84"
"0.76,1764,1764.76"
"-1.00,1779,1778.00"
"0.76,1794,1794.76"
"-0.15,1809,1808.85"
"-0.53,1824,1823.47"
"0.95,1839,1839.95"
"-0.92,1854,1853.08"
"0.44,1869,1869.44"
"0.25,1884,1884.25"
"-0.82,1899,1898.18"
"1.00,1914,1915.00"
"-0.70,1929,1928.30"
"0.06,1944,1944.06"
"0.60,1959,1959.60"
"-0.98,1974,1973.02"
"0.88,1989,1989.88"
"-0.36,2004,2003.64"
"-0.33,2019,2018.67"
"0.86,2034,2034.86"
"-0.98,2049,2048.02"
"0.63,2064,2064.63"
"0.03,2079,2079.03"
"-0.67,2094,2093.33"
"0.99,2109,2109.99"
"-0.84,2124,2123.16"
"0.28,2139,2139.28"
"0.41,2154,2154.41"
"-0.91,2169,2168.09"
"0.96,2184,2184.96"
"-0.56,2199,2198.44"
"-0.11,2214,2213.89"
"0.73,2229,2229.73"
"-1.00,2244,2243.00"
"0.79,2259,2259.79"
"-0.19,2274,2273.81"
"-0.49,2289,2288.51"
"0.94,2304,2304.94"
"-0.94,2319,2318.06"
"0.48,2334,2334.48"
"0.20,2349,2349.20"
"-0.79,2364,2363.21"
"1.00,2379,2380.00"
"-0.73,2394,2393.27"
"0.11,2409,2409.11"
"0.57,2424,2424.57"
"-0.97,2439,2438.03"
"0.90,2454,2454.90"
"-0.40,2469,2468.60"
"-0.29,2484,2483.71"
"0.84,2499,2499.84"
"-0.99,2514,2513.01"
"0.66,2529,2529.66"
"-0.02,2544,2543.98"
"-0.64,2559,2558.36"
"0.99,2574,2574.99"
"-0.86,2589,2588.14"
"0.32,2604,2604.32"
"0.37,2619,2619.37"
"-0.89,2634,2633.11"
"0.97,2649,2649.97"
"-0.60,2664,2663.40"
"-0.07,2679,2678.93"
"0.70,2694,2694.70"
"-1.00,2709,2708.00"
"0.81,2724,2724.81"
"-0.24,2739,2738.76"
"-0.45,2754,2753.55"
"0.92,2769,2769.92"
"-0.95,2784,2783.05"
"0.52,2799,2799.52"
"0.16,2814,2814.16"
"-0.76,2829,2828.24"
"1.00,2844,2845.00"
"-0.76,2859,2858.24"
"0.15,2874,2874.15"
"0.53,2889,2889.53"
"-0.95,2904,2903.05"
"0.92,2919,2919.92"
"-0.44,2934,2933.56"
"-0.25,2949,2948.75"
"0.82,2964,2964.82"
"-1.00,2979,2978.00"
"0.70,2994,2994.70"
"-0.06,3009,3008.94"
"-0.60,3024,3023.40"
"0.98,3039,3039.98"
"-0.88,3054,3053.12"
"0.36,3069,3069.36"
"0.33,3084,3084.33"
"-0.86,3099,3098.14"
"0.98,3114,3114.98"
"-0.63,3129,3128.37"
"-0.03,3144,3143.97"
"0.67,3159,3159.67"
"-0.99,3174,3173.01"
"0.84,3189,3189.84"
"-0.28,3204,3203.72"
"-0.41,3219,3218.59"
"0.91,3234,3234.91"
"-0.96,3249,3248.04"
"0.56,3264,3264.56"
"0.11,3279,3279.11"
"-0.73,3294,3293.27"
"1.00,3309,3310.00"
"-0.79,3324,3323.21"
"0.19,3339,3339.19"
"0.49,3354,3354.49"
"-0.94,3369,3368.06"
"0.94,3384,3384.94"
"-0.48,3399,3398.52"
"-0.20,3414,3413.80"
"0.79,3429,3429.79"
"-1.00,3444,3443.00"
"0.73,3459,3459.73"
"-0.11,3474,3473.89"
"-0.57,3489,3488.43"
"0.97,3504,3504.97"
"-0.90,3519,3518.10"
"0.40,3534,3534.40"
"0.29,3549,3549.29"
"-0.84,3564,3563.16"
"0.99,3579,3579.99"
"-0.66,3594,3593.34"
"0.02,3609,3609.02"
"0.64,3624,3624.64"
"-0.99,3639,3638.01"
"0.86,3654,3654.86"
"-0.32,3669,3668.68"
"-0.37,3684,3683.63"
"0.89,3699,3699.89"
"-0.97,3714,3713.03"
"0.60,3729,3729.60"
"0.07,3744,3744.07"
"-0.70,3759,3758.30"
"1.00,3774,3775.00"
"-0.81,3789,3788.19"
"0.24,3804,3804.24"
"0.45,3819,3819.45"
"-0.92,3834,3833.08"
"0.95,3849,3849.95"
"-0.52,3864,3863.48"
"-0.16,3879,3878.84"
"0.76,3894,3894.76"
"-1.00,3909,3908.00"
"0.76,3924,3924.76"
