"pitch [deg], pitch_time [ms] pitch_crc"
"0.62,3335,3335.62"
"-0.98,3350,3349.02"
"0.87,3365,3365.87"
"-0.35,33ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ"
"-0.28,21,20.72"
"0.84,36,36.84"
"-0.99,51,50.01"
"0.67,66,66.67"
"-0ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ.ÿÿÿÿÿÿÿÿÿ"
"-0.63,96,95.37"
"0.98,111,111.98"
"-0.86,126,125.14"
"0.33,141,141.33"
"0.36,156,156.36"
"-0.88,171,170.12"
"0.98,186,186.98"
"-0.60,201,200.40"
"-0.06,216,215.94"
"0.70,231,231.70"
"-1.00,246,245.00"
"0.82,261,261.82"
"-0.25,276,275.75"
"-0.44,291,290.56"
"0.92,306,306.92"
"-0.95,321,320.05"
"0.53,336,336.53"
"0.15,351,351.15"
"-0.76,366,365.24"
"1.00,381,382.00"
"-0.76,396,395.24"
"0.16,411,411.16"
"0.52,426,426.52"
"-0.95,441,440.05"
"0.92,456,456.92"
"-0.45,471,470.55"
"-0.24,486,485.76"
"0.81,501,501.81"
"-1.00,516,515.00"
"0.70,531,531.70"
"-0.07,546,545.93"
"-0.59,561,560.41"
"0.97,576,576.97"
"-0.89,591,590.11"
"0.37,606,606.37"
"0.32,621,621.32"
"-0.86,636,635.14"
"0.99,651,651.99"
"-0.64,666,665.36"
"-0.02,681,680.98"
"0.66,696,696.66"
"-0.99,711,710.01"
"0.84,726,726.84"
"-0.29,741,740.71"
"-0.40,756,755.60"
"0.90,771,771.90"
"-0.97,786,785.03"
"0.57,801,801.57"
"0.11,816,816.11"
"-0.73,831,830.27"
"1.00,846,847.00"
"-0.79,861,860.21"
"0.20,876,876.20"
"0.48,891,891.48"
"-0.94,906,905.06"
"0.94,921,921.94"
"-0.49,936,935.51"
"-0.19,951,950.81"
"0.78,966,966.78"
"-1.00,981,980.00"
